session_date,direction,period,interval_start,interval_minutes,vehicle_count
2026-03-03,north,peak,07:30,5,14
2026-03-03,north,peak,07:35,5,11
2026-03-03,north,peak,07:40,5,8
2026-03-03,north,peak,07:45,5,11
2026-03-03,north,peak,07:50,5,5
2026-03-03,north,peak,07:55,5,12
2026-03-03,north,peak,08:00,5,6
2026-03-03,north,peak,08:05,5,9
2026-03-03,north,peak,08:10,5,5
2026-03-03,north,peak,08:15,5,8
2026-03-03,north,peak,08:20,5,13
2026-03-03,north,peak,08:25,5,11
2026-03-03,north,offpeak,13:00,5,2
2026-03-03,north,offpeak,13:05,5,2
2026-03-03,north,offpeak,13:10,5,4
2026-03-03,north,offpeak,13:15,5,3
2026-03-03,north,offpeak,13:20,5,5
2026-03-03,north,offpeak,13:25,5,3
2026-03-03,north,offpeak,13:30,5,4
2026-03-03,north,offpeak,13:35,5,5
2026-03-03,north,offpeak,13:40,5,2
2026-03-03,north,offpeak,13:45,5,6
2026-03-03,north,offpeak,13:50,5,3
2026-03-03,north,offpeak,13:55,5,1
2026-03-03,south,peak,07:30,5,15
2026-03-03,south,peak,07:35,5,8
2026-03-03,south,peak,07:40,5,12
2026-03-03,south,peak,07:45,5,7
2026-03-03,south,peak,07:50,5,14
2026-03-03,south,peak,07:55,5,7
2026-03-03,south,peak,08:00,5,14
2026-03-03,south,peak,08:05,5,8
2026-03-03,south,peak,08:10,5,6
2026-03-03,south,peak,08:15,5,7
2026-03-03,south,peak,08:20,5,12
2026-03-03,south,peak,08:25,5,10
2026-03-03,south,offpeak,13:00,5,5
2026-03-03,south,offpeak,13:05,5,3
2026-03-03,south,offpeak,13:10,5,5
2026-03-03,south,offpeak,13:15,5,3
2026-03-03,south,offpeak,13:20,5,7
2026-03-03,south,offpeak,13:25,5,3
2026-03-03,south,offpeak,13:30,5,5
2026-03-03,south,offpeak,13:35,5,4
2026-03-03,south,offpeak,13:40,5,3
2026-03-03,south,offpeak,13:45,5,2
2026-03-03,south,offpeak,13:50,5,4
2026-03-03,south,offpeak,13:55,5,2
2026-03-03,east,peak,07:30,5,1
2026-03-03,east,peak,07:35,5,4
2026-03-03,east,peak,07:40,5,5
2026-03-03,east,peak,07:45,5,4
2026-03-03,east,peak,07:50,5,4
2026-03-03,east,peak,07:55,5,9
2026-03-03,east,peak,08:00,5,7
2026-03-03,east,peak,08:05,5,5
2026-03-03,east,peak,08:10,5,10
2026-03-03,east,peak,08:15,5,7
2026-03-03,east,peak,08:20,5,5
2026-03-03,east,peak,08:25,5,9
2026-03-03,east,offpeak,13:00,5,1
2026-03-03,east,offpeak,13:05,5,2
2026-03-03,east,offpeak,13:10,5,5
2026-03-03,east,offpeak,13:15,5,0
2026-03-03,east,offpeak,13:20,5,0
2026-03-03,east,offpeak,13:25,5,3
2026-03-03,east,offpeak,13:30,5,3
2026-03-03,east,offpeak,13:35,5,1
2026-03-03,east,offpeak,13:40,5,1
2026-03-03,east,offpeak,13:45,5,3
2026-03-03,east,offpeak,13:50,5,4
2026-03-03,east,offpeak,13:55,5,3
2026-03-03,west,peak,07:30,5,5
2026-03-03,west,peak,07:35,5,8
2026-03-03,west,peak,07:40,5,8
2026-03-03,west,peak,07:45,5,3
2026-03-03,west,peak,07:50,5,5
2026-03-03,west,peak,07:55,5,5
2026-03-03,west,peak,08:00,5,7
2026-03-03,west,peak,08:05,5,7
2026-03-03,west,peak,08:10,5,5
2026-03-03,west,peak,08:15,5,6
2026-03-03,west,peak,08:20,5,10
2026-03-03,west,peak,08:25,5,4
2026-03-03,west,offpeak,13:00,5,1
2026-03-03,west,offpeak,13:05,5,3
2026-03-03,west,offpeak,13:10,5,1
2026-03-03,west,offpeak,13:15,5,2
2026-03-03,west,offpeak,13:20,5,2
2026-03-03,west,offpeak,13:25,5,4
2026-03-03,west,offpeak,13:30,5,3
2026-03-03,west,offpeak,13:35,5,2
2026-03-03,west,offpeak,13:40,5,6
2026-03-03,west,offpeak,13:45,5,2
2026-03-03,west,offpeak,13:50,5,0
2026-03-03,west,offpeak,13:55,5,1
2026-03-05,north,peak,07:30,5,5
2026-03-05,north,peak,07:35,5,13
2026-03-05,north,peak,07:40,5,5
2026-03-05,north,peak,07:45,5,12
2026-03-05,north,peak,07:50,5,7
2026-03-05,north,peak,07:55,5,9
2026-03-05,north,peak,08:00,5,14
2026-03-05,north,peak,08:05,5,7
2026-03-05,north,peak,08:10,5,12
2026-03-05,north,peak,08:15,5,13
2026-03-05,north,peak,08:20,5,12
2026-03-05,north,peak,08:25,5,9
2026-03-05,north,offpeak,13:00,5,3
2026-03-05,north,offpeak,13:05,5,2
2026-03-05,north,offpeak,13:10,5,5
2026-03-05,north,offpeak,13:15,5,4
2026-03-05,north,offpeak,13:20,5,2
2026-03-05,north,offpeak,13:25,5,5
2026-03-05,north,offpeak,13:30,5,4
2026-03-05,north,offpeak,13:35,5,3
2026-03-05,north,offpeak,13:40,5,1
2026-03-05,north,offpeak,13:45,5,1
2026-03-05,north,offpeak,13:50,5,4
2026-03-05,north,offpeak,13:55,5,4
2026-03-05,south,peak,07:30,5,10
2026-03-05,south,peak,07:35,5,11
2026-03-05,south,peak,07:40,5,8
2026-03-05,south,peak,07:45,5,8
2026-03-05,south,peak,07:50,5,14
2026-03-05,south,peak,07:55,5,11
2026-03-05,south,peak,08:00,5,13
2026-03-05,south,peak,08:05,5,7
2026-03-05,south,peak,08:10,5,18
2026-03-05,south,peak,08:15,5,9
2026-03-05,south,peak,08:20,5,18
2026-03-05,south,peak,08:25,5,4
2026-03-05,south,offpeak,13:00,5,2
2026-03-05,south,offpeak,13:05,5,2
2026-03-05,south,offpeak,13:10,5,3
2026-03-05,south,offpeak,13:15,5,1
2026-03-05,south,offpeak,13:20,5,2
2026-03-05,south,offpeak,13:25,5,5
2026-03-05,south,offpeak,13:30,5,2
2026-03-05,south,offpeak,13:35,5,3
2026-03-05,south,offpeak,13:40,5,2
2026-03-05,south,offpeak,13:45,5,2
2026-03-05,south,offpeak,13:50,5,2
2026-03-05,south,offpeak,13:55,5,1
2026-03-05,east,peak,07:30,5,6
2026-03-05,east,peak,07:35,5,10
2026-03-05,east,peak,07:40,5,7
2026-03-05,east,peak,07:45,5,2
2026-03-05,east,peak,07:50,5,7
2026-03-05,east,peak,07:55,5,5
2026-03-05,east,peak,08:00,5,3
2026-03-05,east,peak,08:05,5,6
2026-03-05,east,peak,08:10,5,3
2026-03-05,east,peak,08:15,5,7
2026-03-05,east,peak,08:20,5,6
2026-03-05,east,peak,08:25,5,7
2026-03-05,east,offpeak,13:00,5,2
2026-03-05,east,offpeak,13:05,5,3
2026-03-05,east,offpeak,13:10,5,3
2026-03-05,east,offpeak,13:15,5,4
2026-03-05,east,offpeak,13:20,5,3
2026-03-05,east,offpeak,13:25,5,2
2026-03-05,east,offpeak,13:30,5,4
2026-03-05,east,offpeak,13:35,5,2
2026-03-05,east,offpeak,13:40,5,3
2026-03-05,east,offpeak,13:45,5,1
2026-03-05,east,offpeak,13:50,5,1
2026-03-05,east,offpeak,13:55,5,1
2026-03-05,west,peak,07:30,5,6
2026-03-05,west,peak,07:35,5,5
2026-03-05,west,peak,07:40,5,6
2026-03-05,west,peak,07:45,5,9
2026-03-05,west,peak,07:50,5,5
2026-03-05,west,peak,07:55,5,8
2026-03-05,west,peak,08:00,5,5
2026-03-05,west,peak,08:05,5,8
2026-03-05,west,peak,08:10,5,8
2026-03-05,west,peak,08:15,5,6
2026-03-05,west,peak,08:20,5,5
2026-03-05,west,peak,08:25,5,7
2026-03-05,west,offpeak,13:00,5,4
2026-03-05,west,offpeak,13:05,5,2
2026-03-05,west,offpeak,13:10,5,4
2026-03-05,west,offpeak,13:15,5,2
2026-03-05,west,offpeak,13:20,5,1
2026-03-05,west,offpeak,13:25,5,2
2026-03-05,west,offpeak,13:30,5,1
2026-03-05,west,offpeak,13:35,5,1
2026-03-05,west,offpeak,13:40,5,2
2026-03-05,west,offpeak,13:45,5,4
2026-03-05,west,offpeak,13:50,5,2
2026-03-05,west,offpeak,13:55,5,2
2026-03-10,north,peak,07:30,5,17
2026-03-10,north,peak,07:35,5,7
2026-03-10,north,peak,07:40,5,8
2026-03-10,north,peak,07:45,5,14
2026-03-10,north,peak,07:50,5,19
2026-03-10,north,peak,07:55,5,10
2026-03-10,north,peak,08:00,5,6
2026-03-10,north,peak,08:05,5,9
2026-03-10,north,peak,08:10,5,14
2026-03-10,north,peak,08:15,5,8
2026-03-10,north,peak,08:20,5,12
2026-03-10,north,peak,08:25,5,3
2026-03-10,north,offpeak,13:00,5,2
2026-03-10,north,offpeak,13:05,5,3
2026-03-10,north,offpeak,13:10,5,4
2026-03-10,north,offpeak,13:15,5,4
2026-03-10,north,offpeak,13:20,5,3
2026-03-10,north,offpeak,13:25,5,2
2026-03-10,north,offpeak,13:30,5,1
2026-03-10,north,offpeak,13:35,5,4
2026-03-10,north,offpeak,13:40,5,6
2026-03-10,north,offpeak,13:45,5,3
2026-03-10,north,offpeak,13:50,5,4
2026-03-10,north,offpeak,13:55,5,1
2026-03-10,south,peak,07:30,5,10
2026-03-10,south,peak,07:35,5,9
2026-03-10,south,peak,07:40,5,14
2026-03-10,south,peak,07:45,5,9
2026-03-10,south,peak,07:50,5,10
2026-03-10,south,peak,07:55,5,11
2026-03-10,south,peak,08:00,5,4
2026-03-10,south,peak,08:05,5,12
2026-03-10,south,peak,08:10,5,15
2026-03-10,south,peak,08:15,5,4
2026-03-10,south,peak,08:20,5,11
2026-03-10,south,peak,08:25,5,12
2026-03-10,south,offpeak,13:00,5,1
2026-03-10,south,offpeak,13:05,5,2
2026-03-10,south,offpeak,13:10,5,3
2026-03-10,south,offpeak,13:15,5,3
2026-03-10,south,offpeak,13:20,5,3
2026-03-10,south,offpeak,13:25,5,2
2026-03-10,south,offpeak,13:30,5,5
2026-03-10,south,offpeak,13:35,5,5
2026-03-10,south,offpeak,13:40,5,6
2026-03-10,south,offpeak,13:45,5,2
2026-03-10,south,offpeak,13:50,5,3
2026-03-10,south,offpeak,13:55,5,6
2026-03-10,east,peak,07:30,5,7
2026-03-10,east,peak,07:35,5,4
2026-03-10,east,peak,07:40,5,7
2026-03-10,east,peak,07:45,5,4
2026-03-10,east,peak,07:50,5,3
2026-03-10,east,peak,07:55,5,4
2026-03-10,east,peak,08:00,5,6
2026-03-10,east,peak,08:05,5,10
2026-03-10,east,peak,08:10,5,8
2026-03-10,east,peak,08:15,5,5
2026-03-10,east,peak,08:20,5,7
2026-03-10,east,peak,08:25,5,4
2026-03-10,east,offpeak,13:00,5,1
2026-03-10,east,offpeak,13:05,5,4
2026-03-10,east,offpeak,13:10,5,4
2026-03-10,east,offpeak,13:15,5,0
2026-03-10,east,offpeak,13:20,5,3
2026-03-10,east,offpeak,13:25,5,3
2026-03-10,east,offpeak,13:30,5,2
2026-03-10,east,offpeak,13:35,5,0
2026-03-10,east,offpeak,13:40,5,1
2026-03-10,east,offpeak,13:45,5,3
2026-03-10,east,offpeak,13:50,5,1
2026-03-10,east,offpeak,13:55,5,2
2026-03-10,west,peak,07:30,5,9
2026-03-10,west,peak,07:35,5,11
2026-03-10,west,peak,07:40,5,5
2026-03-10,west,peak,07:45,5,7
2026-03-10,west,peak,07:50,5,2
2026-03-10,west,peak,07:55,5,10
2026-03-10,west,peak,08:00,5,6
2026-03-10,west,peak,08:05,5,7
2026-03-10,west,peak,08:10,5,6
2026-03-10,west,peak,08:15,5,6
2026-03-10,west,peak,08:20,5,6
2026-03-10,west,peak,08:25,5,12
2026-03-10,west,offpeak,13:00,5,4
2026-03-10,west,offpeak,13:05,5,1
2026-03-10,west,offpeak,13:10,5,2
2026-03-10,west,offpeak,13:15,5,2
2026-03-10,west,offpeak,13:20,5,2
2026-03-10,west,offpeak,13:25,5,3
2026-03-10,west,offpeak,13:30,5,2
2026-03-10,west,offpeak,13:35,5,1
2026-03-10,west,offpeak,13:40,5,1
2026-03-10,west,offpeak,13:45,5,1
2026-03-10,west,offpeak,13:50,5,1
2026-03-10,west,offpeak,13:55,5,4
